Num,Player,Pos,Age,Value,Country,Continent,Position,Order,x_level
10,Kylian Mbappé,Right Wing,19,140400000.0,France,Europe,Forward,0,120000000.0
7,Antoine Griezmann,Centre-Forward,27,117000000.0,France,Europe,Forward,0,220000000.0
6,Paul Pogba,Central Midfield,25,105300000.0,France,Europe,Midfielder,0,310000000.0
11,Ousmane Dembélé,Right Wing,21,93600000.0,France,Europe,Forward,0,390000000.0
4,Raphaël Varane,Centre-Back,25,81900000.0,France,Europe,Defender,0,460000000.0
8,Thomas Lemar,Left Wing,22,76050000.0,France,Europe,Forward,0,525000000.0
5,Samuel Umtiti,Centre-Back,24,70200000.0,France,Europe,Defender,0,585000000.0
13,N'Golo Kanté,Defensive Midfield,27,70200000.0,France,Europe,Midfielder,0,645000000.0
18,Nabil Fekir,Attacking Midfield,24,70200000.0,France,Europe,Midfielder,0,705000000.0
20,Florian Thauvin,Right Wing,25,58500000.0,France,Europe,Forward,0,755000000.0
22,Benjamin Mendy,Left-Back,23,46800000.0,France,Europe,Defender,0,795000000.0
12,Corentin Tolisso,Central Midfield,23,46800000.0,France,Europe,Midfielder,0,835000000.0
21,Lucas Hernández,Left-Back,22,40950000.0,France,Europe,Defender,0,870000000.0
2,Benjamin Pavard,Centre-Back,22,35100000.0,France,Europe,Defender,0,900000000.0
3,Presnel Kimpembe,Centre-Back,22,35100000.0,France,Europe,Defender,0,930000000.0
15,Steven Nzonzi,Defensive Midfield,29,35100000.0,France,Europe,Midfielder,0,960000000.0
14,Blaise Matuidi,Central Midfield,31,35100000.0,France,Europe,Midfielder,0,990000000.0
1,Hugo Lloris,Keeper,31,29250000.0,France,Europe,Keeper,0,1015000000.0
19,Djibril Sidibé,Right-Back,25,26910000.0,France,Europe,Defender,0,1038000000.0
9,Olivier Giroud,Centre-Forward,31,21060000.0,France,Europe,Forward,0,1056000000.0
23,Alphonse Areola,Keeper,25,17550000.0,France,Europe,Keeper,0,1071000000.0
17,Adil Rami,Centre-Back,32,8189999.999999999,France,Europe,Defender,0,1078000000.0
16,Steve Mandanda,Keeper,33,2340000.0,France,Europe,Keeper,0,1080000000.0
10,Neymar,Left Wing,26,210600000.0,Brazil,South America,Forward,1,180000000.0
11,Philippe Coutinho,Attacking Midfield,26,117000000.0,Brazil,South America,Midfielder,1,280000000.0
20,Roberto Firmino,Secondary Striker,26,93600000.0,Brazil,South America,Forward,1,360000000.0
9,Gabriel Jesus,Centre-Forward,21,93600000.0,Brazil,South America,Forward,1,440000000.0
1,Alisson,Keeper,25,70200000.0,Brazil,South America,Keeper,1,500000000.0
12,Marcelo,Left-Back,30,70200000.0,Brazil,South America,Defender,1,560000000.0
5,Casemiro,Defensive Midfield,26,70200000.0,Brazil,South America,Midfielder,1,620000000.0
13,Marquinhos,Centre-Back,24,64349999.99999999,Brazil,South America,Defender,1,675000000.0
7,Douglas Costa,Right Wing,27,64349999.99999999,Brazil,South America,Forward,1,730000000.0
23,Ederson,Keeper,24,58500000.0,Brazil,South America,Keeper,1,780000000.0
15,Paulinho,Central Midfield,29,46800000.0,Brazil,South America,Midfielder,1,820000000.0
18,Fred,Central Midfield,25,37440000.0,Brazil,South America,Midfielder,1,852000000.0
19,Willian,Right Wing,29,37440000.0,Brazil,South America,Forward,1,884000000.0
14,Danilo,Right-Back,26,23400000.0,Brazil,South America,Defender,1,904000000.0
17,Fernandinho,Defensive Midfield,33,17550000.0,Brazil,South America,Midfielder,1,919000000.0
8,Renato Augusto,Central Midfield,30,12870000.0,Brazil,South America,Midfielder,1,930000000.0
21,Taison,Left Wing,30,12870000.0,Brazil,South America,Forward,1,941000000.0
2,Thiago Silva,Centre-Back,33,11700000.0,Brazil,South America,Defender,1,951000000.0
3,Miranda,Centre-Back,33,9360000.0,Brazil,South America,Defender,1,959000000.0
6,Filipe Luís,Left-Back,32,9360000.0,Brazil,South America,Defender,1,967000000.0
4,Pedro Geromel,Centre-Back,32,5850000.0,Brazil,South America,Defender,1,972000000.0
22,Fágner,Right-Back,29,5850000.0,Brazil,South America,Defender,1,977000000.0
16,Cássio,Keeper,31,4680000.0,Brazil,South America,Keeper,1,981000000.0
5,Sergio Busquets,Defensive Midfield,29,93600000.0,Spain,Europe,Midfielder,2,80000000.0
22,Isco,Attacking Midfield,26,87750000.0,Spain,Europe,Midfielder,2,155000000.0
20,Marco Asensio .,Left Wing,22,87750000.0,Spain,Europe,Forward,2,230000000.0
1,David de Gea,Keeper,27,81900000.0,Spain,Europe,Keeper,2,300000000.0
7,Saúl Ñíguez,Central Midfield,23,81900000.0,Spain,Europe,Midfielder,2,370000000.0
8,Koke,Central Midfield,26,81900000.0,Spain,Europe,Midfielder,2,440000000.0
18,Jordi Alba,Left-Back,29,70200000.0,Spain,Europe,Defender,2,500000000.0
2,Daniel Carvajal,Right-Back,26,70200000.0,Spain,Europe,Defender,2,560000000.0
10,Thiago,Central Midfield,27,70200000.0,Spain,Europe,Midfielder,2,620000000.0
19,Diego Costa .,Centre-Forward,29,70200000.0,Spain,Europe,Forward,2,680000000.0
15,Sergio Ramos,Centre-Back,32,52650000.0,Spain,Europe,Defender,2,725000000.0
14,César Azpilicueta,Right-Back,28,46800000.0,Spain,Europe,Defender,2,765000000.0
9,Rodrigo,Centre-Forward,27,46800000.0,Spain,Europe,Forward,2,805000000.0
4,Nacho Fernández,Centre-Back,28,35100000.0,Spain,Europe,Defender,2,835000000.0
21,David Silva,Attacking Midfield,32,35100000.0,Spain,Europe,Midfielder,2,865000000.0
12,Álvaro Odriozola,Right-Back,22,29250000.0,Spain,Europe,Defender,2,890000000.0
11,Lucas Vázquez,Right Wing,27,29250000.0,Spain,Europe,Forward,2,915000000.0
17,Iago Aspas,Right Wing,30,29250000.0,Spain,Europe,Forward,2,940000000.0
13,Kepa Arrizabalaga,Keeper,23,23400000.0,Spain,Europe,Keeper,2,960000000.0
16,Nacho Monreal,Left-Back,32,15210000.0,Spain,Europe,Defender,2,973000000.0
23,Pepe Reina,Keeper,35,1170000.0,Spain,Europe,Keeper,2,974000000.0
8,Toni Kroos,Central Midfield,28,93600000.0,Germany,Europe,Midfielder,3,80000000.0
22,Marc-André ter Stegen,Keeper,26,70200000.0,Germany,Europe,Keeper,3,140000000.0
5,Mats Hummels,Centre-Back,29,70200000.0,Germany,Europe,Defender,3,200000000.0
13,Thomas Müller .,Secondary Striker,28,70200000.0,Germany,Europe,Forward,3,260000000.0
9,Timo Werner,Centre-Forward,22,70200000.0,Germany,Europe,Forward,3,320000000.0
18,Joshua Kimmich,Right-Back,23,64349999.99999999,Germany,Europe,Defender,3,375000000.0
10,Mesut Özil,Attacking Midfield,29,58500000.0,Germany,Europe,Midfielder,3,425000000.0
17,Jérôme Boateng,Centre-Back,29,52650000.0,Germany,Europe,Defender,3,470000000.0
16,Antonio Rüdiger,Centre-Back,25,46800000.0,Germany,Europe,Defender,3,510000000.0
14,Leon Goretzka,Central Midfield,23,46800000.0,Germany,Europe,Midfielder,3,550000000.0
21,Ilkay Gündogan,Central Midfield,27,46800000.0,Germany,Europe,Midfielder,3,590000000.0
20,Julian Brandt,Left Wing,22,46800000.0,Germany,Europe,Forward,3,630000000.0
15,Niklas Süle,Centre-Back,22,44460000.0,Germany,Europe,Defender,3,668000000.0
1,Manuel Neuer,Keeper,32,40950000.0,Germany,Europe,Keeper,3,703000000.0
7,Julian Draxler,Left Wing,24,40950000.0,Germany,Europe,Forward,3,738000000.0
11,Marco Reus,Left Wing,29,40950000.0,Germany,Europe,Forward,3,773000000.0
6,Sami Khedira,Central Midfield,31,30420000.0,Germany,Europe,Midfielder,3,799000000.0
4,Matthias Ginter,Centre-Back,24,29250000.0,Germany,Europe,Defender,3,824000000.0
